listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
127,Georgetown,7/20/2014,T,0.95,1,Entire home/apt,4,1 bath,,2,2,272,4.85,140
129,Union Station,11/29/2012,F,0.95,10,Entire home/apt,4,1 bath,1,3,31,60,4.6,120
130,Capitol Hill,12/16/2010,T,0.97,2,Entire home/apt,2,1 bath,1,1,31,104,4.93,164
133,Dupont Circle,8/23/2013,T,0.95,5,Entire home/apt,2,1 bath,1,1,14,176,4.93,145
134,Shaw,5/18/2009,F,0.99,164,Entire home/apt,5,1 bath,1,3,31,93,4.72,110
135,Dupont Circle,8/18/2014,T,1,3,Entire home/apt,2,1 bath,1,1,60,53,4.87,126
137,Georgetown,8/30/2014,T,0.78,2,Entire home/apt,2,1 bath,1,1,3,91,4.79,250
140,Capitol Hill,9/7/2014,T,1,2,Entire home/apt,5,1.5 baths,2,2,3,448,4.9,225
141,Dupont Circle,9/9/2014,T,0.92,2,Entire home/apt,2,1 bath,1,1,3,384,4.9,110
147,Dupont Circle,1/15/2011,F,1,4,Entire home/apt,3,1 bath,1,2,3,505,4.74,140
149,Georgetown,10/12/2014,F,0.63,1,Entire home/apt,3,1 bath,1,2,3,193,4.81,145
151,Dupont Circle,3/12/2012,F,,2,Entire home/apt,3,1 bath,1,1,31,44,4.88,99
155,Georgetown,4/8/2013,F,0.67,32,Entire home/apt,6,2 baths,3,3,31,1,5,854
158,Georgetown,1/7/2014,F,,1,Entire home/apt,6,2 baths,2,2,60,1,5,180
160,Union Station,10/19/2014,T,0.97,7,Entire home/apt,4,1 bath,1,2,1,842,4.67,198
161,Union Station,3/30/2013,T,1,5,Entire home/apt,4,1 bath,1,2,2,356,4.95,165
162,Union Station,11/13/2014,T,0.95,1,Entire home/apt,2,1 bath,1,1,4,53,4.87,107
163,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,65,4.77,140
164,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,31,4.97,224
166,Union Station,6/24/2014,T,1,3,Entire home/apt,5,1 bath,1,3,1,233,4.74,182
167,Dupont Circle,8/18/2014,T,1,3,Entire home/apt,2,1 bath,,1,31,48,4.91,127
169,Capitol Hill,11/21/2014,F,0,2,Entire home/apt,2,1 bath,1,1,31,15,4.5,180
170,Capitol Hill,11/22/2014,T,1,1,Entire home/apt,4,1 bath,2,2,3,247,4.97,199
172,Capitol Hill,9/19/2012,T,0.99,1,Entire home/apt,2,1 bath,1,1,2,546,4.92,128
173,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,4,1 bath,1,2,31,7,5,275
176,Union Station,3/1/2014,T,1,2,Entire home/apt,2,1 bath,1,1,31,422,4.91,110
178,Georgetown,5/18/2009,F,0.99,164,,8,3.5 baths,4,5,31,7,4.86,333
